,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price
6161,17033910,1648014,1648014,2022-07-03,Delhi,135817431,227204594,3261195,1,8.0,0.0,423735,2.8
6162,35039074,689119,689119,2022-05-04,Mumbai,119737894,193110272,12345705,1,112.0,0.0,404,106.36454
6163,43435786,3105106,3105106,2022-05-14,Bengaluru,122309214,199812609,18163575,1,24.0,0.0,233518,21.493002
6164,43213800,2883120,2883120,2022-05-16,Bengaluru,122958235,201478105,19171239,1,20.0,0.0,37178,17.04
6165,4052092,4052092,4052092,2022-04-02,Delhi,112557550,174114148,10345143,2,29.0,0.0,389725,41.78682
6166,3636079,3636079,3636079,2022-04-02,HR-NCR,112560103,174131752,2589740,1,50.0,0.0,18546,46.477
6167,25563023,3365833,3365833,2022-06-08,Delhi,128956210,213512527,1713386,2,136.0,0.0,428612,175.89864
6168,20301149,4915253,4915253,2022-07-10,HR-NCR,137753511,234374286,19230424,1,203.0,0.0,20,171.674
6169,37664519,3314564,3314564,2022-05-09,HR-NCR,120972899,196334585,14564790,1,52.0,0.0,389662,41.07836
6170,8337540,774065,774065,2022-04-21,Delhi,116744835,177823229,18387945,1,18.0,0.0,3888,10.0
6171,7732818,169343,169343,2022-04-25,Bengaluru,117678313,187631197,5779817,1,80.0,0.0,372708,57.977776
6172,35123633,773678,773678,2022-05-04,HR-NCR,119712598,190946503,11010712,2,11.0,0.0,3888,12.0
6173,22252020,54830,54830,2022-06-02,Delhi,127523189,213124931,19081945,1,22.0,0.0,105,20.0
6174,40309248,5959293,5959293,2022-05-09,Bengaluru,121081903,187892236,17039034,1,225.0,0.0,1023,191.502
6175,9335449,1771974,1771974,2022-04-20,Bengaluru,116500331,184583043,18587947,1,47.0,0.0,331690,28.0
6176,35677325,1327370,1327370,2022-05-10,Bengaluru,121278580,195669045,3342909,1,102.0,0.0,28169,78.109
6177,37892412,3542457,3542457,2022-05-09,Delhi,121078250,196592989,3868861,1,8.0,0.0,3889,4.0
6178,42130522,1799842,1799842,2022-05-21,HR-NCR,124228367,204738598,1082755,1,104.0,0.0,127442,81.749
6179,43474439,3143759,3143759,2022-05-14,Mumbai,122296585,199779726,8164194,1,28.0,0.0,111843,23.995005
6180,23567571,1370381,1370381,2022-06-05,Delhi,128313852,215105271,12548063,2,12.0,0.0,10088,23.767364
6181,5139724,5139724,5139724,2022-04-01,Bengaluru,112334443,173496192,934118,1,46.0,0.0,80165,35.0
6182,40034621,5684666,5684666,2022-05-10,Delhi,121371702,196944036,1385742,1,160.0,0.0,277,136.42
6183,25262946,3065756,3065756,2022-06-02,Bengaluru,127343011,211732440,12069073,1,57.0,1.0,389692,34.126266
6184,46394877,6064197,6064197,2022-05-13,Bengaluru,122076859,197310509,167878,1,103.0,0.0,21886,93.63582
6185,14910945,7347470,7347470,2022-04-28,Delhi,118301661,189195645,6447379,4,21.0,0.0,439959,79.160012
6186,25832453,3635263,3635263,2022-06-04,Delhi,127961088,206053843,2426209,2,153.0,0.0,476161,262.80978
6187,37525141,3175186,3175186,2022-05-10,Delhi,121306444,197198044,17847969,1,22.0,0.0,391306,17.000008
6188,41711926,1381246,1381246,2022-05-15,Delhi,122661955,200695581,16832768,1,35.0,0.0,369752,26.047583
6189,32788998,4393374,4393374,2022-06-15,HR-NCR,130784140,219840441,3067614,1,63.0,0.0,391333,53.0
6190,41575523,1244843,1244843,2022-05-11,Delhi,121520252,197770419,9929934,1,65.0,0.0,319610,55.9
6191,45036899,4706219,4706219,2022-05-21,Bengaluru,124340189,205001225,8130623,1,376.0,0.0,381735,443.5593
6192,39440684,5090729,5090729,2022-05-01,HR-NCR,119076709,191315597,9101192,1,55.0,0.0,475850,24.0
6193,17286310,1900414,1900414,2022-07-06,Bengaluru,136421620,232303667,18307468,1,85.0,0.0,37076,72.03
6194,6456894,6456894,6456894,2022-04-13,Delhi,114858770,176635867,15827461,1,50.0,0.0,609,42.0
6195,34213148,5817524,5817524,2022-06-14,HR-NCR,130701998,210179314,12594592,1,19.0,0.0,253144,12.030947
6196,4036181,4036181,4036181,2022-04-10,Delhi,114313753,178892440,14361605,1,45.0,0.0,307780,41.51896
6197,19246258,3860362,3860362,2022-07-02,Mumbai,135450139,230610041,9598234,1,50.0,0.0,11006,42.6395
6198,28053860,5856670,5856670,2022-06-09,Delhi,129368644,217591298,1539455,1,27.0,0.0,421703,12.447179
6199,10020966,2457491,2457491,2022-04-20,HR-NCR,116324144,181089929,15047577,1,139.0,0.0,428612,86.0
6200,21603649,6217753,6217753,2022-07-05,HR-NCR,136150906,231855185,941303,1,196.0,0.0,390793,182.53056
6201,31557558,3161934,3161934,2022-06-19,HR-NCR,132014434,223956308,20183304,1,399.0,0.0,402268,348.20416
6202,27386284,5189094,5189094,2022-06-09,Bengaluru,129190934,217339130,13395623,1,35.0,0.0,445281,19.0
6203,41810313,1479633,1479633,2022-05-18,HR-NCR,123552692,203022019,4583641,1,97.0,0.0,344275,55.0
6204,16591826,1205930,1205930,2022-07-06,Delhi,136409283,232289495,614295,1,43.0,0.0,23343,20.0
6205,14016032,6452557,6452557,2022-04-27,Bengaluru,117941439,188357602,17867732,1,50.0,0.0,377,40.498875
6206,29093675,698051,698051,2022-06-12,HR-NCR,130059166,219459763,29038,1,184.0,0.0,477072,162.65538
6207,37830917,3480962,3480962,2022-05-02,Delhi,119255559,191801204,12851588,1,115.0,0.0,396433,98.855996
6208,26594970,4397780,4397780,2022-06-10,HR-NCR,129538229,218177099,14280420,2,20.0,0.0,10088,31.0
6209,19411829,4025933,4025933,2022-07-08,HR-NCR,137182789,231282823,31206,2,132.0,0.0,481597,141.6
6210,14964047,7400572,7400572,2022-04-21,Bengaluru,116623243,184836710,933140,2,22.0,0.0,391306,40.595036
6211,16826798,1440902,1440902,2022-07-01,Bengaluru,135187430,230130318,38990,1,35.0,0.0,391305,29.699999
6212,34040397,5644773,5644773,2022-06-18,Bengaluru,131796739,215578537,17439322,1,36.0,0.0,483030,34.762012
6213,27835278,5638088,5638088,2022-06-10,Delhi,129481055,218044976,8291782,2,25.0,0.0,19512,48.3
6214,16010731,624835,624835,2022-07-01,HR-NCR,135073288,229915493,19763697,2,53.0,0.0,405599,102.564012
6215,29685626,1290002,1290002,2022-06-12,Bengaluru,130121482,219605430,17125266,1,509.0,0.0,12476,565.503
6216,27112127,4914937,4914937,2022-06-03,Delhi,127609938,210213464,2664665,1,51.0,0.0,477170,64.103
6217,28664153,268529,268529,2022-06-12,Delhi,130243441,216618186,390741,1,286.0,0.0,136968,242.77095
6218,38129847,3779892,3779892,2022-05-07,HR-NCR,120404626,194888526,1213354,1,30.0,0.0,12872,29.149998
6219,3474470,3474470,3474470,2022-04-08,HR-NCR,113846750,177648050,14435867,6,95.0,0.0,427621,448.90251
6220,577447,577447,577447,2022-04-01,Delhi,112261313,173292182,3614588,1,23.0,0.0,3923,13.0
6221,40028522,5678567,5678567,2022-05-10,HR-NCR,121302466,197187323,3501924,1,22.0,0.0,445675,12.116118
6222,11859759,4296284,4296284,2022-04-25,Delhi,117545368,186246203,10495863,4,28.0,0.0,336628,102.563592
6223,9824587,2261112,2261112,2022-04-27,HR-NCR,117935741,187728790,1251877,1,163.0,0.0,479306,124.560005
6224,8577103,1013628,1013628,2022-04-21,Delhi,116727743,185169412,14497687,1,90.0,0.0,371361,81.09199
6225,29519380,1123756,1123756,2022-06-19,Delhi,131910227,223757901,18332697,1,28.0,0.0,333785,21.0
6226,38226333,3876378,3876378,2022-05-04,Delhi,119675550,192988398,5750169,3,153.0,0.0,978,443.49006
6227,5615599,5615599,5615599,2022-04-02,Mumbai,112525958,168683198,4240066,1,48.0,0.0,55360,52.8
6228,24755163,2557973,2557973,2022-06-04,Bengaluru,127927542,213823950,19619472,1,10.0,0.0,117641,8.596382
6229,13956559,6393084,6393084,2022-04-21,Bengaluru,116610594,183530729,18586908,1,38.0,0.0,478894,30.399998
6230,16540418,1154522,1154522,2022-07-01,Delhi,135124609,226335032,16983649,1,19.0,0.0,467658,8.0
6231,45736390,5405710,5405710,2022-05-15,HR-NCR,122575764,200477257,5699960,1,72.0,0.0,97243,62.39456
6232,36033250,1683295,1683295,2022-05-02,Delhi,119263137,191827306,1516973,2,20.0,0.0,11150,34.00106
